"mean","time"
0.00110288605745376,1997-07-01
1.75566442529371e-05,1997-07-02
8.87983819932194e-05,1997-07-03
0.00106336938356395,1997-07-04
0.00256421203181286,1997-07-05
0.00356408123282732,1997-07-06
0.00502412645088634,1997-07-07
0.00162114033637482,1997-07-08
0.000106579128722232,1997-07-09
0.000114487915516031,1997-07-10
0.000189219575328394,1997-07-11
8.50461749187898e-05,1997-07-12
8.65355235473946e-05,1997-07-13
3.19618839253813e-05,1997-07-14
0.000453204059736729,1997-07-15
0.000395574179266882,1997-07-16
0.000257908501541209,1997-07-17
0.00341364785495063,1997-07-18
0.00315390325602873,1997-07-19
0.00126875584437997,1997-07-20
0.00240945118399062,1997-07-21
0.000471263756224299,1997-07-22
0.000100636005525683,1997-07-23
0.000377592442240379,1997-07-24
0.00106023165274197,1997-07-25
0.000576067558785405,1997-07-26
0.000123998448047222,1997-07-27
9.32522909432716e-05,1997-07-28
6.5742539466274e-05,1997-07-29
7.74261498504157e-06,1997-07-30
0.000629883254713747,1997-07-31
